Data Hora;Nome Maquina;Temperatura (C);Umidade (%)
2026-06-23 00:02:03;Máquina 1;22;56
2026-06-23 00:07:03;Máquina 1;22;56
2026-06-23 00:12:03;Máquina 1;22;56
2026-06-23 00:17:03;Máquina 1;22;56
2026-06-23 00:22:03;Máquina 1;22;56
2026-06-23 00:27:03;Máquina 1;22;56
2026-06-23 00:32:03;Máquina 1;22;56
2026-06-23 00:37:03;Máquina 1;22;56
2026-06-23 00:42:03;Máquina 1;22;56
2026-06-23 00:47:03;Máquina 1;22;56
2026-06-23 00:52:03;Máquina 1;21;56
2026-06-23 00:57:03;Máquina 1;21;56
2026-06-23 01:02:03;Máquina 1;21;56
2026-06-23 01:07:03;Máquina 1;21;56
2026-06-23 01:12:03;Máquina 1;21;56
2026-06-23 01:17:03;Máquina 1;21;56
2026-06-23 01:22:03;Máquina 1;21;56
2026-06-23 01:27:03;Máquina 1;21;56
2026-06-23 01:32:03;Máquina 1;21;56
2026-06-23 01:37:03;Máquina 1;21;56
2026-06-23 01:42:03;Máquina 1;21;56
2026-06-23 01:47:03;Máquina 1;21;56
2026-06-23 01:52:03;Máquina 1;21;56
2026-06-23 01:57:03;Máquina 1;21;56
2026-06-23 02:02:03;Máquina 1;21;56
2026-06-23 02:07:03;Máquina 1;21;56
2026-06-23 02:12:03;Máquina 1;21;56
2026-06-23 02:17:03;Máquina 1;21;56
2026-06-23 02:22:03;Máquina 1;21;56
2026-06-23 02:27:03;Máquina 1;21;56
2026-06-23 02:32:03;Máquina 1;21;56
2026-06-23 02:37:03;Máquina 1;21;55
2026-06-23 02:42:03;Máquina 1;21;56
2026-06-23 02:47:03;Máquina 1;21;56
2026-06-23 02:52:03;Máquina 1;21;56
2026-06-23 02:57:03;Máquina 1;21;56
2026-06-23 03:02:03;Máquina 1;21;56
2026-06-23 03:07:03;Máquina 1;21;56
2026-06-23 03:12:03;Máquina 1;21;56
2026-06-23 03:17:03;Máquina 1;21;56
2026-06-23 03:22:03;Máquina 1;21;56
2026-06-23 03:27:03;Máquina 1;21;56
2026-06-23 03:32:03;Máquina 1;21;56
2026-06-23 03:37:03;Máquina 1;21;56
2026-06-23 03:42:03;Máquina 1;21;56
2026-06-23 03:47:03;Máquina 1;21;56
2026-06-23 03:52:03;Máquina 1;21;56
2026-06-23 03:57:03;Máquina 1;21;56
2026-06-23 04:02:03;Máquina 1;21;56
2026-06-23 04:07:03;Máquina 1;21;56
2026-06-23 04:12:03;Máquina 1;21;56
2026-06-23 04:17:03;Máquina 1;21;56
2026-06-23 04:22:03;Máquina 1;21;56
2026-06-23 04:27:03;Máquina 1;21;56
2026-06-23 04:32:03;Máquina 1;21;56
2026-06-23 04:37:03;Máquina 1;21;56
2026-06-23 04:42:03;Máquina 1;21;56
2026-06-23 04:47:03;Máquina 1;21;56
2026-06-23 04:52:03;Máquina 1;21;56
2026-06-23 04:57:03;Máquina 1;21;56
2026-06-23 05:02:03;Máquina 1;20;55
2026-06-23 05:07:03;Máquina 1;20;54
2026-06-23 05:12:03;Máquina 1;20;53
2026-06-23 05:17:03;Máquina 1;20;53
2026-06-23 05:22:03;Máquina 1;20;51
2026-06-23 05:27:03;Máquina 1;20;51
2026-06-23 05:32:03;Máquina 1;20;52
2026-06-23 05:37:03;Máquina 1;20;52
2026-06-23 05:42:03;Máquina 1;20;52
2026-06-23 05:47:03;Máquina 1;20;52
2026-06-23 05:52:03;Máquina 1;20;51
2026-06-23 05:57:03;Máquina 1;20;51
2026-06-23 06:02:03;Máquina 1;20;51
2026-06-23 06:07:03;Máquina 1;20;51
2026-06-23 06:12:03;Máquina 1;20;51
2026-06-23 06:17:03;Máquina 1;20;51
2026-06-23 06:22:03;Máquina 1;19;51
2026-06-23 06:27:03;Máquina 1;19;51
2026-06-23 06:32:03;Máquina 1;19;49
2026-06-23 06:37:03;Máquina 1;19;50
2026-06-23 06:42:03;Máquina 1;19;50
2026-06-23 06:47:03;Máquina 1;19;50
2026-06-23 06:52:03;Máquina 1;19;50
2026-06-23 06:57:03;Máquina 1;19;52
2026-06-23 07:02:03;Máquina 1;19;54
2026-06-23 07:07:03;Máquina 1;20;54
2026-06-23 07:12:03;Máquina 1;20;54
2026-06-23 07:17:03;Máquina 1;20;52
2026-06-23 07:22:03;Máquina 1;19;53
2026-06-23 07:27:03;Máquina 1;19;52
2026-06-23 07:32:03;Máquina 1;19;52
2026-06-23 07:37:03;Máquina 1;19;52
2026-06-23 07:42:03;Máquina 1;19;51
2026-06-23 07:47:03;Máquina 1;20;51
2026-06-23 07:52:03;Máquina 1;20;51
2026-06-23 07:57:03;Máquina 1;20;52
2026-06-23 08:02:03;Máquina 1;20;50
2026-06-23 08:07:03;Máquina 1;20;49
2026-06-23 08:12:03;Máquina 1;20;49
2026-06-23 08:17:03;Máquina 1;20;47
2026-06-23 08:22:03;Máquina 1;20;47
2026-06-23 08:27:03;Máquina 1;20;46
2026-06-23 08:32:03;Máquina 1;20;48
2026-06-23 08:37:03;Máquina 1;20;48
2026-06-23 08:42:03;Máquina 1;20;47
2026-06-23 08:47:03;Máquina 1;20;47
2026-06-23 08:52:03;Máquina 1;20;46
2026-06-23 08:57:03;Máquina 1;20;46
2026-06-23 09:02:03;Máquina 1;20;46
2026-06-23 09:07:03;Máquina 1;20;47
2026-06-23 09:12:03;Máquina 1;20;47
